community_profile_case,profile_id,climate_zone,scenario_id,scenario_hash,episode_seed,duration_h,notice_h,candidate_reduction_kw,success,delivery_ratio,minimum_interval_delivery_ratio,deadline_miss_rate,rebound_ratio,window_peak_relief_fraction,terminal_backlog_fraction,failure_reasons
climate_3c,eulp_mixed_3c,3C,hourly_seed_10000,64167e1f2f287edcf775c67628bdb46af6b2b1c826c232a3167520b2643db575,10000,4,0,39.6505452781,True,0.99226993624,0.969079744959,0,0.121508589966,0.594233054241,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10001,d01631ea34d329166a0a2d87f618469bdd2203e70447f03a1155898ed86e0572,10001,4,0,39.6505452781,True,0.996246938388,0.984987753554,0,0.120871609847,0.855044679367,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10002,e0e55c228bb06104aafef25468c665d838520ffe955b2894041b3adc887e64f6,10002,4,0,39.6505452781,True,0.996219041615,0.984876166461,0,0.122115817638,0.66090284157,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10003,96421a3deff84b7a220b68acb43ca8eca077486126f154f7013968bcaefa4baf,10003,4,0,39.6505452781,True,0.987499999827,0.949999999308,0,0.125888022609,1.10658024749,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10004,9f839b50b84b5c78a6430aa4f011ec91b131d686e9e6e62447226367fb823f71,10004,4,0,39.6505452781,True,0.987808656707,0.951234626828,0,0.122542297323,0.610821042557,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10005,d3f6792408881f15b9ce701d25a968fef99b34e4937f3592842410753189b840,10005,4,0,39.6505452781,True,1,1,0,0.136219386794,1.01772405813,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10006,e0321782e721e72e22d7a00d72ab9a2f623ce49dd5ca7fcab6f7e534673e1a4c,10006,4,0,39.6505452781,True,0.993546724937,0.981462740893,0,0.1386066292,0.655355665681,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10007,7234d7dc1b43118d210fdfe8cc27a406eda63436c15a965e37a3dbf17d6201c9,10007,4,0,39.6505452781,True,0.995346372761,0.981385491044,0,0.123181281735,0.610491381449,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10008,9baf929554ad5f86abbeee1ed7ba6d3963e5646d628e0014c6c6b8a746c4e1bc,10008,4,0,39.6505452781,True,0.987533663298,0.964917781926,0,0.120176135449,0.667495018091,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10009,30c65c16b38feb6ecd142d71bee362cb4127be2d545d1f47dc6a006dc29dc17b,10009,4,0,39.6505452781,True,0.973829730133,0.949999999643,0,0.114901286252,0.59012147537,0,
climate_3c,eulp_mixed_3c,3C,hourly_seed_10010,02896fc9ada0a675cc072581340c260366e609aa4679460e9e9c951c1a6136a3,10010,4,0,39.6505452781,True,1,1,0,0.128634371729,0.557572085592,0,
