duration_h,notice_h,reliability_target,confidence_level,candidate_reduction_kw,candidate_fraction_of_reference_mix_peak,success_count,trial_count,empirical_success_fraction,wilson_lower_confidence_bound,certified,minimum_interval_delivery_ratio,p95_deadline_miss_rate,p95_rebound_ratio,p95_terminal_backlog_fraction,p05_window_peak_relief_fraction
1,0,0.9,0.95,60.2609772296,0.2998046875,418,500,0.836,0.806967424861,False,0.382820168334,5.20016957335e-18,0.269718547734,0,0.513286646067
2,0,0.9,0.95,50.8390654803,0.2529296875,410,500,0.82,0.790040490093,False,0.453767535438,9.01608825834e-05,0.209981543498,0,0.526222676969
3,0,0.9,0.95,44.9503706371,0.2236328125,419,500,0.838,0.809089511166,False,0.448935880778,0.000123207608091,0.198852742686,0,0.539149762078
4,0,0.9,0.95,44.1652113246,0.2197265625,395,500,0.79,0.758517600384,False,0.456916963103,0.000221811240572,0.191811641913,0,0.544971550305
6,0,0.9,0.95,39.8468351062,0.1982421875,372,500,0.744,0.710643158455,False,0.362214224374,0.000291520978151,0.193389226753,0,0.561825432881
8,0,0.9,0.95,39.8468351062,0.1982421875,345,500,0.69,0.655032649649,False,0.362214224374,0.000460739071021,0.198027772746,0,0.566495567069
1,2,0.9,0.95,60.2609772296,0.2998046875,418,500,0.836,0.806967424861,False,0.382820168334,5.20016957335e-18,0.269718547734,0,0.513286646067
2,2,0.9,0.95,50.8390654803,0.2529296875,410,500,0.82,0.790040490093,False,0.453767535438,9.01608825834e-05,0.209981543498,0,0.526222676969
3,2,0.9,0.95,44.9503706371,0.2236328125,419,500,0.838,0.809089511166,False,0.448935880778,0.000123207608091,0.199325358568,0,0.539149762078
4,2,0.9,0.95,44.1652113246,0.2197265625,395,500,0.79,0.758517600384,False,0.456916963103,0.000221811240572,0.191811641913,0,0.544971550305
6,2,0.9,0.95,39.8468351062,0.1982421875,372,500,0.744,0.710643158455,False,0.362214224374,0.000291520978151,0.193389226753,0,0.561825432881
8,2,0.9,0.95,39.8468351062,0.1982421875,345,500,0.69,0.655032649649,False,0.362214224374,0.000460739071021,0.198027772746,0,0.566495567069
1,6,0.9,0.95,60.2609772296,0.2998046875,418,500,0.836,0.806967424861,False,0.382820168334,5.20016957335e-18,0.269718547734,0,0.513286646067
2,6,0.9,0.95,50.8390654803,0.2529296875,410,500,0.82,0.790040490093,False,0.453767535438,9.01608825834e-05,0.209981543498,0,0.526222676969
3,6,0.9,0.95,44.9503706371,0.2236328125,419,500,0.838,0.809089511166,False,0.448935880778,0.000123207608091,0.199325358568,0,0.539149762078
4,6,0.9,0.95,44.1652113246,0.2197265625,395,500,0.79,0.758517600384,False,0.456916963103,0.000221811240572,0.191811641913,0,0.544971550305
6,6,0.9,0.95,39.8468351062,0.1982421875,372,500,0.744,0.710643158455,False,0.362214224374,0.000291520978151,0.193389226753,0,0.561825432881
8,6,0.9,0.95,39.8468351062,0.1982421875,345,500,0.69,0.655032649649,False,0.362214224374,0.000460739071021,0.198027772746,0,0.566495567069
1,0,0.95,0.95,55.1574416987,0.2744140625,437,500,0.874,0.847558984077,False,0.418241251525,4.29268161739e-18,0.2345970777,0,0.519798211569
2,0,0.95,0.95,45.7355299495,0.2275390625,433,500,0.866,0.838961798288,False,0.504402539393,3.61869685364e-05,0.200332910316,0,0.531992804928
3,0,0.95,0.95,39.6505452781,0.197265625,445,500,0.89,0.864851088103,False,0.508942161872,9.03998898499e-07,0.187670690952,0,0.546862991479
4,0,0.95,0.95,39.6505452781,0.197265625,425,500,0.85,0.821853243835,False,0.508942161872,0.000108406022287,0.182333425043,0,0.552529111454
6,0,0.95,0.95,37.8839368251,0.1884765625,398,500,0.796,0.764801486446,False,0.380981800766,0.000190590975333,0.189687980507,0,0.568472513538
8,0,0.95,0.95,36.7061978565,0.1826171875,383,500,0.766,0.733476045389,False,0.393205815764,0.000371916471834,0.193761665248,0,0.574941660685
1,2,0.95,0.95,55.1574416987,0.2744140625,437,500,0.874,0.847558984077,False,0.418241251525,4.29268161739e-18,0.2345970777,0,0.519798211569
2,2,0.95,0.95,45.7355299495,0.2275390625,433,500,0.866,0.838961798288,False,0.504402539393,3.61869685364e-05,0.200332910316,0,0.531992804928
3,2,0.95,0.95,39.6505452781,0.197265625,445,500,0.89,0.864851088103,False,0.508942161872,9.03998898499e-07,0.187670690952,0,0.546862991479
4,2,0.95,0.95,39.6505452781,0.197265625,425,500,0.85,0.821853243835,False,0.508942161872,0.000108406022287,0.182333425043,0,0.552529111454
6,2,0.95,0.95,37.8839368251,0.1884765625,398,500,0.796,0.764801486446,False,0.380981800766,0.000190590975333,0.189687980507,0,0.568472513538
8,2,0.95,0.95,36.7061978565,0.1826171875,383,500,0.766,0.733476045389,False,0.393205815764,0.000371916471834,0.193761665248,0,0.574941660685
1,6,0.95,0.95,55.1574416987,0.2744140625,437,500,0.874,0.847558984077,False,0.418241251525,4.29268161739e-18,0.2345970777,0,0.519798211569
2,6,0.95,0.95,45.7355299495,0.2275390625,433,500,0.866,0.838961798288,False,0.504402539393,3.61869685364e-05,0.200332910316,0,0.531992804928
3,6,0.95,0.95,39.6505452781,0.197265625,445,500,0.89,0.864851088103,False,0.508942161872,9.03998898499e-07,0.187670690952,0,0.546862991479
4,6,0.95,0.95,39.6505452781,0.197265625,425,500,0.85,0.821853243835,False,0.508942161872,0.000108406022287,0.182333425043,0,0.552529111454
6,6,0.95,0.95,37.8839368251,0.1884765625,398,500,0.796,0.764801486446,False,0.380981800766,0.000190590975333,0.189687980507,0,0.568472513538
8,6,0.95,0.95,36.7061978565,0.1826171875,383,500,0.766,0.733476045389,False,0.393205815764,0.000371916471834,0.193761665248,0,0.574941660685
1,0,0.99,0.95,49.0724570274,0.244140625,453,500,0.906,0.88229460173,False,0.470103166714,3.38895917163e-18,0.207633820739,0,0.525365646497
2,0,0.99,0.95,39.2579656219,0.1953125,466,500,0.932,0.911060667335,False,0.587628958393,4.29268161739e-18,0.183258712038,0,0.544870745218
3,0,0.99,0.95,34.3507199191,0.1708984375,466,500,0.932,0.911060667335,False,0.587464666847,4.98176998229e-18,0.169328867801,0,0.563018673807
4,0,0.99,0.95,34.3507199191,0.1708984375,452,500,0.904,0.880104819397,False,0.587464666847,1.1947610356e-07,0.170518465558,0,0.565825162247
6,0,0.99,0.95,32.9766911224,0.1640625,439,500,0.878,0.851869284952,False,0.437675521118,8.39540228249e-05,0.182621922282,0,0.590719228364
8,0,0.99,0.95,32.9766911224,0.1640625,421,500,0.842,0.813338052463,False,0.437675521118,0.000224192120083,0.188299450657,0,0.592367388543
1,2,0.99,0.95,49.0724570274,0.244140625,453,500,0.906,0.88229460173,False,0.470103166714,3.40778672258e-18,0.207092268735,0,0.525365646497
2,2,0.99,0.95,39.2579656219,0.1953125,466,500,0.932,0.911060667335,False,0.587628958393,4.29268161739e-18,0.183258712038,0,0.544870745218
3,2,0.99,0.95,34.3507199191,0.1708984375,466,500,0.932,0.911060667335,False,0.587464666847,4.6127499836e-18,0.169328867801,0,0.563018673807
4,2,0.99,0.95,34.3507199191,0.1708984375,452,500,0.904,0.880104819397,False,0.587464666847,1.1947610356e-07,0.170518465558,0,0.565825162247
6,2,0.99,0.95,32.9766911224,0.1640625,439,500,0.878,0.851869284952,False,0.437675521118,8.39540228249e-05,0.182621922282,0,0.590719228364
8,2,0.99,0.95,32.9766911224,0.1640625,421,500,0.842,0.813338052463,False,0.437675521118,0.000224192120083,0.188299450657,0,0.592367388543
1,6,0.99,0.95,49.0724570274,0.244140625,453,500,0.906,0.88229460173,False,0.470103166714,3.40778672258e-18,0.207092268735,0,0.525365646497
2,6,0.99,0.95,39.2579656219,0.1953125,466,500,0.932,0.911060667335,False,0.587628958393,4.29268161739e-18,0.183258712038,0,0.544870745218
3,6,0.99,0.95,34.3507199191,0.1708984375,466,500,0.932,0.911060667335,False,0.587464666847,4.6127499836e-18,0.169328867801,0,0.563018673807
4,6,0.99,0.95,34.3507199191,0.1708984375,452,500,0.904,0.880104819397,False,0.587464666847,1.1947610356e-07,0.170518465558,0,0.565825162247
6,6,0.99,0.95,32.9766911224,0.1640625,439,500,0.878,0.851869284952,False,0.437675521118,8.39540228249e-05,0.182621922282,0,0.590719228364
8,6,0.99,0.95,32.9766911224,0.1640625,421,500,0.842,0.813338052463,False,0.437675521118,0.000224192120083,0.188299450657,0,0.592367388543
